Disease,Gene,Inheritance,OMIM,T cells,B cells,Ig,Associated features,,
,PSEN,AD ,613737 ,Verneuil’s disease/hidradenitis suppurativa with cutaneous hyperpigmentation ,,,,,
,PSENEN,AD ,613736 ,Verneuil’s disease/hidradenitis suppurativa ,,,,,
IRF4 haploinsufficiency ,IRF4,AD ,601900 ,Lymphocytes and monocytes ,IRF4 is a pleiotropic transcription factor ,Whipple’s disease ,,,
IL-18BP deficiency ,IL18BP,AR ,604113 ,Leukocytes and other cells ,IL-18BP neutralizes secreted IL-18 ,Fulminant viral hepatitis ,,,
GATA2 deficiency ,GATA2,AD ,137295 ,"Monocytes + peripheral DC, NK cells ",Multilineage cytopenia ,,,,
"AD STING-associated vasculopathy, infantile-onset (SAVI) ",TMEM173,AD ,612374 ,Not assessed ,Not assessed ,STING activates both the NF-κB and IRF3 transcription pathways to induce the expression of IFN ,"Skin vasculopathy, inflammatory lung disease, systemic autoinflammation and ICC, FCL ",,
ADA2 deficiency ,ADA2,AR ,607575 ,Not assessed ,Not assessed ,ADAs deactivate extracellular adenosine and terminate signaling through adenosine receptors ,"Polyarteritis nodosa, childhood-onset, early-onset recurrent ischemic stroke and fever; some patients develop hypogammaglobulinemia ",,
"TREX1 deficiency, Aicardi–Goutières syndrome 1 (AGS1) ",TREX1,AR ,606609 ,Not assessed ,Not assessed ,Intracellular accumulation of abnormal ssDNA species leading to increased type I IFN production ,"Classical AGS, SLE, FCL ",,
"RNASEH2B deficiency, AGS2 ",RNASEH2B,AR ,610326 ,Not assessed ,Not assessed ,Intracellular accumulation of abnormal RNA-DNA hybrid species leading to increased type I IFN production ,"Classical AGS, SP ",,
"RNASEH2C deficiency, AGS3 ",RNASEH2C,AR ,610330 ,Not assessed ,Not assessed ,Classical AGS ,,,
"RNASEH2A deficiency, AGS4 ",RNASEH2A,AR ,606034 ,Not assessed ,Not assessed ,Classical AGS ,,,
"SAMHD1 deficiency, AGS5 ",SAMHD1,AR ,606754 ,Not assessed ,Not assessed ,"Controls dNTPs in the cytosol, failure of which leads to increased type I IFN production ","Classical AGS, FCL ",,
"ADAR1 deficiency, AGS6 ",ADAR1,AR ,615010 ,Not assessed ,Not assessed ,"Catalyzes the deamination of adenosine to inosine in dsRNA substrates, failure of which leads to increased type I IFN production ","Classical AGS, BSN, SP ",,
Aicardi–Goutières syndrome 7 (AGS7) ,IFIH1,AD GOF ,615846 ,Not assessed ,Not assessed ,IFIH1 gene encodes a cytoplasmic viral RNA receptor that activates type I interferon signaling through the MAVS adaptor molecule ,"Classical AGS, SLE, SP, SMS ",,
DNase II deficiency ,DNASE2,AR ,619858 ,Not assessed ,Not assessed ,DNase II degrades and eliminates DNA. Loss of DNase II activity induces type I interferon signaling ,AGS ,,
LSM11 deficiency ,LSM11,AR ,619486 ,Not assessed ,Not assessed ,Increased IFN signaling in fibroblasts ,"AGS, type 1 IFN-opathy ",,
RNU7-1 deficiency ,RNU7-1,AR ,619487 ,Not assessed ,Not assessed ,Increased IFN signaling in fibroblasts ,"AGS, type 1 IFN-opathy ",,
ARF1 deficiency ,ARF1,AD ,103180 ,Not assessed ,Not assessed ,Increased type I IFN signaling in cell lines and patient cells ,"AGS, type 1 IFN-opathy ",,
Pediatric SLE due to DNASE1L3 deficiency ,DNASE1L3,AR ,614420 ,,,DNASE1L3 is an endonuclease that degrades extracellular DNA. DNASE1L3 deficiency decreases clearance of apoptotic cells ,"Very early-onset SLE, reduced complement levels, autoantibodies (dsDNA, ANCA), lupus nephritis, hypocomplementemic urticarial vasculitis syndrome ",,
Spondyloenchondrodysplasia with immune dysregulation (SPENCD) ,ACP5,AR ,171640 ,Not assessed ,Not assessed ,Upregulation of IFN through mechanism possibly relating to pDCS ,"Short stature, SP, ICC, SLE, thrombocytopenia and autoimmune hemolytic anemia, possibly recurrent bacterial and viral infections ",,
USP18 deficiency ,USP18,AR ,607057 ,Not assessed ,Not assessed ,Defective negative regulation of ISG15 leading to increased IFN ,"TORCH-like syndrome, autoinflammation, and mycobacterial disease ",,
OAS1 GOF ,OAS1,AD GOF ,618042 ,,Low ,Increased interferon from recognition of RNA ,"Pulmonary alveolar proteinosis, skin rash ",,
CDC42 deficiency ,CDC42,AD ,616737 ,Normal/decreased ,Normal/decreased ,"↑serum levels of IL-1, IL-18, IFN-α↑, ferritin, sCD25, CRP, etc. Mutation affects actin function, ↓ NK cell cytotoxicity ","Neonatal onset: pancytopenia, fever, rash, hepatosplenomegaly, multisystemic inflammation, myelofibrosis/proliferation, HLH, enterocolitis; recurrent GIT/URT infections; neurodevelopmental delay, FTT ",,
STAT2 loss of negative regulation ,STAT2,AR ,616636 ,Increased ,Normal ,"Patient cells hypersensitive to IFN-α, GOF for induction of the late (not early) response to type 1 IFNs due to impaired interaction of mutant STAT2 with USP18, a negative regulator of type 1 IFN responses ","Severe fatal early-onset autoinflammation, ↑serum IFN-α, IL-6, TNF-α, phenocopy of USP18 deficiency ",,
ATAD3A deficiency ,ATAD3A,AD/AR ,617183 ,Not assessed ,Not assessed ,"Elevated ISG expression, increased serum type 1 IFNs ","Predominantly neurological defects (development delay, spasticity) ",,
RELA haploinsufficiency ,RELA,AD ,618287 ,Normal/increased ,Normal ,,Chronic mucocutaneous ulceration,,
RELA interferonopathya ,RELA,AD DN ,618287 ,,,Leukocyte TLR7-dependent type I/III IFN production ,"Patients with RELA DN mutations shared clinical phenotypes with RELA haploinsufficiency, presenting chronic mucocutaneous ulcerations and autoimmune hematological disorders such as immune thrombocytopenia (ITP) and neutropenia. However, patients with RELA DN mutations additionally presented periodic fever, IBD juvenile idiopathic arthritis (JIA), and skin involvement ",,
Familial Mediterranean fever (FMF) ,MEFV,AR LOF ,249100 ,"Mature granulocytes, cytokine-activated monocytes ",Increased pyrin inflammasome-mediated induction of IL-1β ,"Recurrent fever, serositis, and inflammation responsive to colchicine. Predisposes to vasculitis and inflammatory bowel disease, SAA amyloidosis ",,,
"Pyogenic sterile arthritis, pyoderma gangrenosum, acne (PAPA) syndrome, hyperzincemia, and hypercalprotectinemia ",PSTPIP1,AD ,604416 ,"PMNs, monocytes ",Activation of the pyrin inflammasome; high production of IL-1 and IL-18 cytokines; interferon signature ,"Destructive arthritis, inflammatory skin rash, myositis ",,,
Mevalonate kinase deficiency (hyper-IgD syndrome/HIDS) ,MVK,AR ,260920 ,Somatic and hematopoietic ,"Defect in production of isoprenoids, which are synthesized via mevalonate pathway and play a role in regulation of many signaling pathways ",Periodic fever and leukocytosis with usually high IgD levels ,,,
PMVK deficiency ,PMVK,AR ,NA ,Leukocytes ,"Similar to MVK deficiency, increased IL-1β ","Recurrent fever episodes, arthritis, and cytopenia ",,,
Muckle–Wells syndrome ,NLRP3,AD GOF ,191900 ,PMNs Monocytes ,Activation of cryopyrin inflammasome results in increased production of IL-1/IL-18 cytokines and cell death via pyroptosis ,"Urticaria, SNHL, SAA amyloidosis ",,,
Familial cold autoinflammatory syndrome 2 ,NLRP12,AD GOF ,611762 ,"PMNs, monocytes ","Nonpruritic urticaria, arthritis, chills, fever, and leukocytosis after cold exposure ",,,,
NLRC4-MAS (macrophage-activating syndrome) ,NLRC4,AD GOF ,616050 ,"PMNs, monocytes, macrophages, intestinal epithelial cells ","GOF mutation in NLRC4 results in elevated secretion of IL-1β and IL-18, as well as macrophage activation ",Severe enterocolitis and macrophage activation syndrome ,,,
PLAID or familial cold autoinflammatory syndrome 3 ,PLCG2,,,,,,,,
Autoinflammation with arthritis and dyskeratosis (AIADK; NLRP1 deficiency) ,NLRP1,AR ,617388 ,Keratinocytes and leukocytes ,"Systemic elevation of IL-18, IL-1β, caspase 1, suggesting activation of NLRP1 inflammasome ","Dyskeratosis, autoimmunity, and arthritis ",,,
NLRP1 GOF ,NLRP1,AD GOF ,615225 ,Keratinocytes ,Spontaneous production of IL-1β and IL-18 cytokines in keratinocytes ,"Palmoplantar carcinoma, corneal scarring; recurrent respiratory papillomatosis ",,,
Autoinflammation with episodic fever and lymphadenopathy/cleavage-resistant RIPK1-induced autoinflammatory syndrome/CRIA ,RIPK1,AD ,618852 ,Leukocytes and fibroblasts ,TNF-induced cell death via apoptosis and necroptosis ,"Long-lasting fever episodes, lymphadenopathy, splenohepatomegaly, ulcers, arthralgia, GI features ",,,
Chronic recurrent multifocal osteomyelitis and congenital dyserythropoietic anemia (Majeed syndrome) ,LPIN2,AR ,609628 ,"Neutrophils, bone marrow cells ",Dysregulation in cholesterol synthesis impairs the negative regulation of NLRP3 in macrophages resulting in high production of IL-1 ,"Chronic recurrent multifocal osteomyelitis, transfusion-dependent anemia, cutaneous inflammatory disorders ",,,
TNF receptor–associated periodic syndrome (TRAPS) ,TNFRSF1A,AD ,142680 ,"PMNs, monocytes ",Mutations in the extracellular domain of 55-kD TNF receptor cause protein misfolding and intracellular receptor retention resulting in upregulation of ER stress ,"Recurrent fever, serositis, rash, and ocular or joint inflammation ",,,
Blau syndrome ,NOD2,AD ,186580 ,"Monocytes, intestinal epithelial cells ",Mutations in nucleotide binding site of CARD15 result in constitutive activation of NOD2 noadosome nd upregulation of NF-κB signaling ,"Uveitis, granulomatous synovitis, camptodactyly, rash, and cranial neuropathies; 30% develop Crohn’s colitis ",,,
ADAM17 deficiency ,ADAM17,AR ,614328 ,Leukocytes and epithelial cells ,Defective TNF-α production ,Early-onset diarrhea and skin lesions ,,,
DIRA (deficiency of the interleukin-1 receptor antagonist) ,IL1RN,AR ,612852 ,"PMNs, monocytes ",Mutations in the IL-1 receptor antagonist allow unopposed action of IL-1α and IL-1β ,"Neonatal onset of sterile multifocal osteomyelitis, periostitis, and pustulosis ",,,
Loss of IL-1R1 sensitivity to IL-Ra (LIRSA/CRMO3) (1 patient) ,IL-1R1,AD ,259680 ,T cells and B cells ,Activated myeloid cells. Loss of IL-1R1 biding to endogenous IL-Ra ,"Arthritis, osteolytic/sclerotic bone lesions, poor growth, no rash, no fever ",,,
DITRA (deficiency of IL-36 receptor antagonist) ,IL36RN,AR ,614204 ,"Keratinocytes, leukocytes ",Mutations in the IL-36 receptor antagonist allow unopposed action of IL-1α and IL-1β ,Pustular psoriasis ,,,
Histiocytosis-lymphadenopathy plus syndrome/H syndrome (ENT3) ,SLC29A3,AR ,602782 ,"Leukocytes, histiocytes ",Defect in nucleoside transport functions of hENT3 leads to histiocytic infiltration of numerous organs ,"Hyperpigmentation hypertrichosis, hepatosplenomegaly, heart anomalies, hearing loss, hypogonadism, low height, and occasionally hyperglycemia/diabetes mellitus ",,,
CAMPS (CARD14-mediated psoriasis) ,CARD14,AD ,602723 ,Mainly in keratinocytes ,Mutations in CARD14 activate the NF-κB pathway and production of IL-8 ,Psoriasis ,,,
Cherubism ,SH3BP2,AD ,118400 ,"Stromal cells, bone cells ","Hyperactivated macrophages and osteoclasts, increased NF-κB signaling ",Bone degeneration in jaws ,,,
PRAAS-CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy) ,PSMB8,AR and AD ,256040 ,"Keratinocytes, B-cell adipose cells ",Proteasome dysfunction with accumulation of ubiquitinated proteins and ER stress. Increased interferon signature ,"Contractures, panniculitis, ICC, fevers ",,,
PRAAS-CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy) ,PSMG2,AR ,609702 ,Lymphocytes ,"Panniculitis, lipodystrophy, autoimmune hemolytic anemia ",,,,
PRAAS-CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy) ,PSMB10,AR ,619175 ,Lymphocytes ,Proteasome dysfunction with accumulation of ubiquitinated proteins and ER stress. Increased interferon signature ,"Periorbital and hand–foot annular rash (neutrophilic dermatosis), microcytic anemia, long slender fingers, hepatomegaly and splenomegaly ",,,
PRAAS-CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy) ,PSMB9,AR or digenic or DN ,617591 ,Lymphocytes ,Proteasome dysfunction with accumulation of ubiquitinated proteins and ER stress. Increased interferon signature ,,,,
PRAAS-CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy) ,PSMB4,AR or digenic ,617591 ,Lymphocytes ,Proteasome dysfunction with accumulation of ubiquitinated proteins and ER stress. Increased interferon signature ,"Panniculitis, lipodystrophy, autoimmune hemolytic anemia ",,,
PRAID ,POMP,AD ,618048 ,Lymphocytes ,Increased accumulation of ubiquitinated proteins and ER stress with increased IFN signaling mediated by increased PKR signaling ,"CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)/ interstitial lung disease in one patient, liver disease in one patient. Recurrent and opportunistic infections. Low CD8 T cells, skewing toward naïve T cells. Low B cells and positive autoantibodies ",,,
PSMB9 deficiency (G156D) ,PSMB9,AD (DN LOF) ,617591 ,Leukocytes (mild pancytopenia) ,"Decreased protein expression and reduced proteasome activities. Elevated levels of inflammatory cytokines (IL-6, IL-18, IP-10, IFN-α), liver enzymes in blood and CSF (IFN-α), hyperactivation of IFN-α, pSTAT1 ","Severe autoinflammatory phenotype (neonatal-onset fever, skin rash, myositis, severe pulmonary hypertension, basal ganglia calcification), periodic inflammatory exacerbation; immunodeficiency. Partial phenocopy of PRAAS ",,,
Autoinflammation with neurodevelopmental disease ,PSMD12,AR ,617516 ,"CNS, lymphocytes ",↑ peripheral blood type I IFN gene signature has been reported for some patients ,"Intellectual disability, developmental delay, urticarial skin rash, elevated interferon signature ",,,
COPA syndrome ,COPA,AD ,601924 ,PMN and tissue-specific cells ,Defective intracellular transport via the coat protein complex I (COPI). Exacerbated STING-mediated type I interferon response ,Autoimmune inflammatory arthritis and interstitial lung disease with Th17 dysregulation and autoantibody production ,,,
Otulipenia/ORAS ,OTULIN,AR/AD ,615712 ,"Leukocytes, fibroblasts ",Increase LUBAC induction of NF-κB and interferon activation leading to high proinflammatory cytokine levels. Increase in TNF-induced cell death ,"Fever, diarrhea, skin abscesses, panniculitis ",,,
Dominant negative OTULIN-related autoinflammatory syndrome (3 patients) ,OTULIN,AD ,615712 ,Lymphocytes and fibroblasts ,"Decreased catalytic activity, accumulation of linear ubiquitin chains, increased TNF-induced cell death, ",Spontaneous systemic inflammation ,,,
OTULIN haploinsufficiency ,OTULIN,AD ,615712 ,Epithelial cells ,Increased activity of caveolin-1 stabilizes ADAM10 receptor for S. aureus toxin ,Susceptibility to S. aureus infections in epithelial cells ,,,
Haploinsufficiency of A20/HA20 ,TNFAIP3,AD ,616744 ,Lymphocytes ,Defective inhibition of NF-κB signaling pathway ,"Arthralgia, mucosal ulcers, ocular inflammation ",,,
AP1S3 deficiency ,AP1S3,AR ,615781 ,Keratinocytes ,Disrupted TLR3 translocation ,Pustular psoriasis ,,,
ALPI deficiency ,ALPI,AR ,171740 ,Intestinal epithelial cells ,Deficient inhibition of LPS in intestine ,Inflammatory bowel disease ,,,
TRIM22 ,TRIM22,AR ,606559 ,"Macrophages, intestinal epithelial cells ",Granulomatous colitis ,Inflammatory bowel disease ,,,
T-cell lymphoma subcutaneous panniculitis-like (TIM3 deficiency) ,HAVCR2,AR ,618398 ,Leukocytes ,Increased inflammasome activity due to defective checkpoint signaling ,"Panniculitis, HLH, polyclonal cutaneous T-cell infiltrates or T-cell lymphoma ",,,
C2orf69 deficiency (28 patients) ,C2orf69,AR ,619423 ,Outer mitochondrial membrane of all cells ,C2orf69 regulates mitochondrial function; protein deficiency causes respiratory chain defects ,"Early-onset severe autoinflammation disorder, often fatal. Global developmental delay, with recurrent seizures, muscle weakness due to glycogen deposits ",,,
SYK GOF ,SYK,AD GOF ,619381 ,"Lymphocytes, osteoclasts ","Increased SYK phosphorylation, enhanced NF-κB, JNK, and ERK signaling. Mutated T cells are hypersensitive to stimulation and produce various proinflammatory chemokines and cytokines (IL-17, IL-22, TNF, IFN-γ) ","Recurrent infections, multi-organ inflammation/inflammatory disease (gut, skin, CNS, lung, liver), B-cell lymphoma reported in 2 pts ",,,
HCK GOF ,HCK,AD GOF ,620296 ,Lymphocytes ,"Increased kinase activity of HCK mutant in vitro; ↑ production of inflammatory cytokines (IL-1β, IL-6, IL-8, TNF-α), ROS ","Cutaneous vasculitis, inflammatory leukocyte infiltration of the lungs (pulmonary fibrosis) and skin, anemia, hepatosplenomegaly ",,,
NEMO exon 5 deletion ,IKBKG,XL ,301081 ,Leukocytes ,"Mutant NEMO lacks exon 5 (NEMO-Dex5), fails to bind TBK1; NEMO-Dex5 stabilized IKKi, strong NF-κB, and interferon gene expression signatures ","Fever, skin rash, systemic autoinflammation, infections, CNS involvement, panniculitis, uveitis, hepatosplenomegaly, ectodermal dysplasia ",,,
TBK1 deficiency ,TBK1,AR ,620880 ,Leukocytes ,Autoinflammation driven by TNF-induced RIPK1-dependent cell death ,"Chronic systemic autoinflammation (polyarthritis, vasculitis, rash); delayed neurocognitive development ",,,
"Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and headache (ROSAH) ",ALPK1,AD ,614979 ,Lymphocytes ,"Immune activation with increased NF-κB signaling, STAT1 phosphorylation, and interferon gene expression signature ","Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache, fever, arthritis, colitis, dental abnormalities ",,,
LYN GOF,LYN,AD GOF ,620376 ,Endothelial cells and neutrophils ,"Activated endothelial cells, constitutively active neutrophils ","Diffuse purpuric rash/atopic dermatitis, fever, hepatosplenomegaly, liver fibrosis/calcifications, arthritis, periorbital edema, respiratory insufficiency, colitis, poor growth ",,,
SHARPIN deficiency ,SHARPIN,AR ,620795 ,"Impaired development of germinal centers in secondary lymphoid organs, low CD20+cells, increased memory B cells ","Defect in LUBAC function, attenuated canonical NF-κB responses, increased TNF-induced cell death ","Arthritis, fever, colitis, amylopectinosis ",,,
Disabling pansclerotic morphea of childhood ,STAT4,AD GOF ,620443 ,Low CD4 T cells ,,,,,
C1q deficiency due to defects ,C1QA,AR ,120550 ,"Absent CH50 hemolytic activity, defective activation of the classical pathway, diminished clearance of apoptotic cells ","SLE, infections with encapsulated organisms ",,,,
C1q deficiency due to defects ,C1QB,AR ,120570 ,,,,,,
C1q deficiency due to defects ,C1QC,AR ,120575 ,,,,,,
C1r deficiency ,C1R,AR ,613785 ,"Absent CH50 hemolytic activity, defective activation of the classical pathway ","SLE, infections with encapsulated organisms, Ehlers–Danlos phenotype ",,,,
C1r Periodontal Ehlers–Danlos ,C1R,AD GOF ,613785 ,Normal CH50 ,"Hyperpigmentation, skin fragility ",,,,
C1s deficiency ,C1S,AR ,613785 ,"Absent CH50 hemolytic activity, defective activation of the classical pathway ","SLE, infections with encapsulated organisms, Ehlers–Danlos phenotype ",,,,
C1s Periodontal Ehlers–Danlos ,C1S,AD GOF ,613785 ,Normal CH50 ,"Hyperpigmentation, skin fragility ",,,,
Complete C4 deficiency ,C4A+C4B,AR ,120810 ,"Absent CH50 hemolytic activity, defective activation of the classical pathway, complete deficiency requires biallelic mutations/deletions/conversions of both C4A and C4B ","SLE, infections with encapsulated organisms, partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense ",,,,
C2 deficiency ,C2,AR ,217000 ,"Absent CH50 hemolytic activity, defective activation of the classical pathway ","SLE, infections with encapsulated organisms, atherosclerosis ",,,,
C3 deficiency (LOF) ,C3,AR ,120700 ,"Absent CH50 and AH50 hemolytic activity, defective opsonization, defective humoral immune response ","Infections, glomerulonephritis, atypical hemolytic–uremic syndrome with GOF mutations ",,,,
C3 GOF ,C3,AD GOF ,120700 ,Increased activation of complement ,Atypical hemolytic–uremic syndrome ,,,,
C5 deficiency ,C5,AR ,120900 ,Absent CH50 and AH50 hemolytic activity,Disseminated neisserial infections ,,,,
C6 deficiency ,C6,AR ,217050 ,"Absent CH50 and AH50 hemolytic activity, defective bactericidal activity ",,,,,
C7 deficiency ,C7,AR ,217070 ,,,,,,
C8α deficiency ,C8A,AR ,120950 ,,,,,,
C8γ deficiency ,C8G,AR ,120930 ,,,,,,
C8β deficiency ,C8B,AR ,120960 ,,,,,,
C9 deficiency ,C9,AR ,120940 ,"Reduced CH50 and AP50 hemolytic activity, deficient bactericidal activity ",Mild susceptibility to disseminated neisserial infections ,,,,
MASP2 deficiency ,MASP2,AR ,605102 ,Deficient activation of the lectin activation pathway ,"Pyogenic infections, inflammatory lung disease, autoimmunity ",,,,
Ficolin-3 deficiency ,FCN3,AR ,604973 ,Absence of complement activation by the ficolin-3 pathway ,"Respiratory infections, abscesses ",,,,
C1 inhibitor deficiency ,SERPING1,AD/AR ,606860 ,"Spontaneous activation of the complement pathway with consumption of C4/C2, spontaneous activation of the contact system with generation of bradykinin from high molecular weight kininogen ",Hereditary angioedema ,,,,
Factor B GOF ,CFB,AD GOF ,612924 ,GOF mutation with increased spontaneous AH50 ,Atypical hemolytic–uremic syndrome ,,,,
Factor B deficiency ,CFB,AR ,615561 ,Deficient activation of the alternative pathway ,Infections with encapsulated organisms ,,,,
Factor D deficiency ,CFD,AR ,134350 ,Absent AH50 hemolytic activity ,Neisserial infections ,,,,
Properdin deficiency ,CFP,XL ,300383 ,Absent AH50 hemolytic activity ,Neisserial infections ,,,,
Factor I deficiency ,CFI,AR ,217030 ,Spontaneous activation of the alternative complement pathway with consumption of C3 ,"Infections, disseminated neisserial infections, atypical hemolytic–uremic syndrome, preeclampsia ",,,,
Factor H deficiency ,CFH,AR or AD ,134370 ,Spontaneous activation of the alternative complement pathway with consumption of C3 ,,,,,
Factor H–related protein deficiencies ,CFHR1,AR or AD ,134371 ,"Normal CH50, AH50, autoantibodies to factor H, linked deletions of one or more CFHR genes lead to susceptibility to autoantibody-mediated aHUS ","Older onset atypical hemolytic–uremic syndrome, disseminated neisserial infections ",,,,
Factor H–related protein deficiencies ,CFHR2,AR or AD ,600889 ,,,,,,
Factor H–related protein deficiencies ,CFHR3,AR or AD ,605336 ,,,,,,
Factor H–related protein deficiencies ,CFHR4,AR or AD ,605337 ,,,,,,
Factor H–related protein deficiencies ,CFHR5,AR or AD ,608593 ,,,,,,
Thrombomodulin deficiency ,THBD,AD ,188040 ,"Normal CH50, AH50 ",Atypical hemolytic–uremic syndrome ,,,,
Membrane cofactor protein (CD46) deficiency ,CD46,AD/AR ,120920 ,"Inhibitor of complement alternate pathway, decreased C3b binding ","Atypical hemolytic–uremic syndrome, infections, preeclampsia ",,,,
Membrane attack complex inhibitor (CD59) deficiency ,CD59,AR ,107271 ,Erythrocytes highly susceptible to complement-mediated lysis ,"Hemolytic anemia, polyneuropathy ",,,,
CD55 deficiency (CHAPLE disease) ,CD55,AR ,125240 ,Hyperactivation of complement on endothelium ,,,,,
Fanconi anemia type A ,FANCA,AR ,227650 ,Normal to low ,Normal to low ,HSC ,"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage ",Bone marrow failure with immune deficiency ,Fanconi anemia 
Fanconi anemia type B ,FANCB,XLR ,300514 ,,,,,,
Fanconi anemia type C ,FANCC,AR ,227645 ,,,,,,
Fanconi anemia type D1 ,BRCA2,AR ,605724 ,,,,,,
Fanconi anemia type D2 ,FANCD2,AR ,227646 ,,,,,,
Fanconi anemia type E ,FANCE,AR ,600901 ,,,,,,
Fanconi anemia type F ,FANCF,AR ,603467 ,,,,,,
Fanconi anemia type G ,FANCG/XRCC9,AR ,614082 ,,,,,,
Fanconi anemia type I ,FANCI,AR ,609053 ,,,,,,
Fanconi anemia type J ,BRIP1,AR ,609054 ,,,,,,
Fanconi anemia type L ,FANCL,AR ,614083 ,,,,,,
Fanconi anemia type M ,FANCM,AR ,618096 ,,,,,,
Fanconi anemia type N ,PALB2,AR ,610832 ,,,,,,
Fanconi anemia type O ,RAD51C,AR ,613390 ,,,,,,
Fanconi anemia type P ,SLX4,AR ,613951 ,,,,,,
Fanconi anemia type Q ,ERCC4,AR ,615272 ,,,,,,
Fanconi anemia type R ,RAD51,AR ,617244 ,,,,,,
Fanconi anemia type S ,BRCA1,AR ,617883 ,,,,,,
Fanconi anemia type T ,UBE2T,AR ,616435 ,,,,,,
Fanconi anemia type U ,XRCC2,AR ,617247 ,,,,,,
Fanconi anemia type V ,MAD2L2,AR ,617243 ,,,,,,
Fanconi anemia type W ,RFWD3,AR ,617784 ,,,,,,
"MIRAGE (myelodysplasia, infection, restriction of growth, adrenal hypoplasia, genital phenotypes, enteropathy) ",SAMD9,AD GOF ,617053 ,Not reported ,Not reported ,"HSC, myeloid cells ","Intrauterine growth retardation, gonadal abnormalities, adrenal failure, MDS with chromosome 7 aberrations, predisposition to infections, enteropathy, absent spleen ",,
Ataxia–pancytopenia syndrome ,SAMD9L,AD GOF ,611170 ,Normal ,Low ,"HSC, myeloid cells ","MDS, neurological features ",,
DKCX1 ,DKC1,XL ,305000 ,Normal to low ,Normal to low ,HSC ,"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay ",,Dyskeratosis congenita 
DKCA1 ,TERC,AD ,127550 ,,,,,,
DKCA2 ,TERT,AD/AR ,187270 ,,,,,,
DKCA3 ,TINF2,AD ,604319 ,,,,,,
DKCA4 ,RTEL1,AD ,616373 ,,,,,,
DKCA5 ,TINF2,AD ,268130 ,,,,,,
DKCA6 ,ACD,AD ,616553 ,,,,,,
DKCB1 ,NOP10,AR ,224230 ,,,,,,
DKCB2 ,NHP2,AR ,613987 ,,,,,,
DKCB3 ,WRAP53,AR ,613988 ,,,,,,
DKCB4 ,TERT,AR ,613989 ,,,,,,
DKCB5 ,RTEL1,AR ,615190 ,Low ,"Nail dystrophy, leukoplakia, bone marrow failure, severe B-cell immunodeficiency, intrauterine growth retardation, growth retardation, microcephaly, cerebellar hypoplasia, and esophageal dysfunction ",,,,
DKCB6 ,PARN,AR ,616353 ,Normal to low ,"Developmental delay, microcephaly, and cerebellar hypoplasia ",,,,
DKCB7 ,ACD,AR ,616553 ,Normal to low ,"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay ",,,,
BMFS1 (SRP72-deficiency) ,SRP72,AD ,602122 ,NA ,NA ,,Bone marrow failure and congenital nerve deafness ,,
BMFS2 ,ERCC6L2,AR ,615667 ,NA ,NA ,"Bone marrow failure, learning difficulties, microcephaly ",,,
BMFS5 ,TP53,AD ,618165 ,NA ,Low B ,"Erythroid hypoplasia, B-cell deficiency ",,,
Coats plus syndrome ,STN1,AR ,613129 ,Normal ,Normal ,"Intrauterine growth retardation, premature aging, pancytopenia, hypocellular bone marrow, gastrointestinal hemorrhage due to vascular ectasia, intracranial calcification, abnormal telomeres ",,,
,CTC1,AR ,617053 ,Not reported ,Not reported ,,,,
MECOM deficiency ,MECOM,AD ,616738 ,Not reported ,B-cell deficiency ,,"Bone marrow failure, thrombocytopenia/pancytopenia, radioulnar synostosis, clinodactyly, cardiac, and renal malformations ",,
"Dyskeratosis congenita, Høyeraal–Hreidarsson syndrome ",DCLRE1B,AR ,620133 ,"Normal to low,",B-cell deficiency ,Low neutrophils in n:1 ,"Early-onset hypocellular bone marrow failure, B and NK lymphopenia, developmental anomalies, microcephaly, and/or intrauterine growth retardation ",,
"BMF, macrocytosis, leukemia ",DUT,AR ,620044 ,NA ,NA ,"HSC, stromal cells ","Diabetes, bone marrow failure ",BMF ,
Nijmegen breakage syndrome–like disorder ,RAD50,AR ,613078 ,"Low T-cell counts, normal T-cell",B-cell deficiency ,,"Microcephaly, mental retardation, bird-like face, short stature ",Progressive BMF and immunodeficiency ,
Autoimmune lymphoproliferative syndrome (ALPS-SFAS) ,TNFRSF6,AD,Increased CD4−CD8−double-negative (DN) αβ T cells ,"Normal, but increased, number of CD5+ B cells ","Splenomegaly, lymphadenopathy, autoimmune cytopenias, defective lymphocyte apoptosis/ALPS-FAS (=ALPS) ",,,,
